Manufacturers
AK-Circle
Alps Shoji Co. Ltd.
AN
Anzai Seisakusho
Aoki Industries Ltd. / Aoki Shokai
"Aoshin / Aoshin Shoten Co., Ltd."
Asahi Trading Company
Asahi Toy Company
Asakusa Toy Ltd. / A-ONE Ltd.
"Asakusa Toys & Dolls Co., Ltd."
AT
Bandai / Bandai-Ya Inc. / Bandai Inc.
Bullmark
Daishin / Daishin Kogyo
"Daito / Daito Co., Ltd."
"Daiwa / Daiwa Toys Co., Ltd."
"DAIYA / Terai Toys Co., Ltd."
DIA
Dott G.R.
Enomoto Seisakusho
"Epoch Co., Ltd."
ET
"Ever New Toy & Co., Ltd."
Exelo
Fifties / Fifties Inc.
"Fuji / Fuji Press Kogyosho Co., Ltd."
Fukuda / Fukuda Seisakusho
Gakken / Gakushu Kenkyusha
Haji Toys / Mansei Gangu
Harina / Harina Gangu
Harusame / Harusame Seisakusho
Hasebe / Hasebe Yushutsu Gangu
Hasegawa / Hasegawa Gangu Seisakusho
"Hashimoto / Hashimoto Co., Ltd."
Hayashi Manufacturing
Higashi Toy / Higashi Gangu
Hikari Gangu Seisakusho
Hirata Gangu Seisakusho
Hiro
Hishimo / Hisimo Sangyou
Hitachi Gangu Seisakusho
Hoku
Hope
Horikawa Toy Ind.
HTC
H Toy
"Ichida Co., Ltd."
"Ichiko Manufacturing Co., Ltd."
Ichimura / Ichimura Shoten
Ichimura / Ichimura Seisakusho
Inakita / Inakita Shokai
IRCO
Ishizaki / Ishizaki Gangu Seisakusho
Ishizuka / Ishizuka Seisakusho
ITO Seisakusho
Iwaya Corporation
I.Y. Metal Toys / Yamazaki Gangu
Junior Toy Co. Ltd. / Suda Kinzuku
K
KA
Kamiya / Kamiya Seisakusho
Kaname Sangyo
"Kanto / Kanto Toys Co., Ltd."
Kashiwai (Lucky Toy)
Kato Sairen (See Nihon Boeki)
Kawahachi Shoten
Kawahara Gangu Seisakusho
Kawano / Kawano Seisakusho
KCI
"Keiichi / Keiichi Kogyosho Co., Ltd."
KO
Koa / Koa Kinzoku
Kobayashi / Kobayashi Seisakusho
Kogure
Kokyu / Kokyu Shokai
Kohno Kakuzo
Koiso / Koiso Seisakusho
Komatsudo Seisakusho
Komoda / Komoda Shoten Ltd.
Koshibe / Koshibe Shoten
Kosuge / Kosurge Gangu Kenkyusho
Kowa / Kowa Kogyo
Koyo / Koyo Kinzoku
KS (or possibly KSP)
KS
KT
"Kuramochi / Kuramochi & Co., Ltd."
Kusama / Kusama Shoten
Kuwamura / Kuwamura Seisakusho
Kyodo / Kyodo Press K.K.
"Kyoei / Kyoei Toy Co., Ltd."
Kyowa / Kyowa Gangu Seisakusho
M Stars Mark'
Manmaru / Manmaru Seisakusho
"Marubishi / Marubishi Co., Ltd."
Marugo / Marugo Shoten
Marumiya
Marunaka / Marunaka Gangu
Marusan / Marusan Shoten Ltd.
"Maruya Toys / Maruya Co., Ltd."
Maruyoshi Toy Manufacturing
Masakiya Co.
Masuda / Masuda Press Tokyo
"Masudaya / Masudaya Toys Co., Ltd."
"Masuya / Masuya Toys Co., Ltd"
Meiho / Meiho Shoji
Meiko / Meiko Shoji
"Meiwa / Meiwa Kogyo Co., Ltd."
MHT
Mikuni / Mikuni Industry
Mitake / Mitake Toy
Mitomo / Mitomo Gangu
"Mitsuhasi / Mitsuhashi & Co., Ltd."
Mitsushima / Mitsushima Seisakusho
Mitsuwa / Mitsuwa Toy
"Mitsuwa / Mitsuwa Press Co., Ltd."
Mitu
"Miura Toy Co. / Miura Shoji Co., Ltd"
"Miyazawa / Miyazawa Mokei Co., Ltd."
Mizuno / Nihon Alps Mizuno Seisakusho
Momoya / Momoya Shoten
Morishita
MRK
Mutsu / Mutsu Seisakusho
Nakamura Toy
Nakajima / Nakajima Seisakusho
Nakayama / Nakayama Gangu Seisakusho
Naito Shoten
"Nemoto / Nemoto Shoten Co., Ltd."
Nihon Boeki / Japan Trading
Nikko Gangu Kogyo
Nippon Kougei
Nishimura / Nishimura Kiyosaburo Shoten
Noguchi
Noguchi Seisakusho
"Nomura / Nomura Toy Industrial Co., Ltd."
Ohara / Ohara Seisakusho
Ohki / Ohki Gangu Seisakusho
Ohta / Ohta Kasaburo
Oka / Oka Gangu Seisakusho
Okabe / Okabe Gangu Seisakusho
Okuma / Okuma Seisakusho
Okyasu
"Ono / Ono Toy Co., Ltd."
Oshika / Oshika Seisakusho
Plaything
RS
Royal
Saito / Saito Gangu Co. Ltd.
Sakai / Sakai Seisakusho
Sanei Toy Company Ltd.
Sanesu
Sankei / Sankei Gangu Kogyo
Sanko / Sanko Seisakusho
"Sankou Seiki Co., Ltd."
Sano / Sano Kinzoku Seisakusho
Sanshin / Sanshin Toys Co. Ltd.
"Sanyo Toys Co., Ltd"
Sanyu
Sato / Sato Gangu Seisakusho
Shibuya Toy / Shibuya Gangu Seisakusho
Shibuya / Shibuya Seisakusho
Shimazaki Toy / Shimazaki Gangu
Shimizu / Shimizu Gangu
Shinkosha / Shinkosha Co. Ltd.
Shinsei / Shinsei Kogyo Kabash
Shinsei / Shinsei Kogyo Co. Ltd.
Shinto / Shinto Kinzoku Kogyo
Shioji / Shioji Shoten
"Showa / Showa Kogyo Co., Ltd."
Shoyo
Shudo / Shudo Shoji
Sinsei / Sinsei Kiki Kogyo
SN Circle Mark'
Spesco
SSN Oval Mark'
ST (Propeller Mark)'
Suda / Suda Kinzoku Seisakusho
Suzuki / Suzuki Gangu Seisakusho
Suzuki & Edwards Co. Ltd.
Swallow Toys Co. Ltd.
T Arrow Mark'
Tada / Tada Seisakusho
Tagai / Tagai Shoten
Taguchi Toy Co.
Tahara / Tahara Seisakusho
Taico
Taiyo / Taiyo Kogyo Company
Taiyo / Taiyo Shokai
"Takatoku / Takatoku Gangu Co., Ltd."
Tamiya / Tamiya Seisakusho
Taniguchi Shoten Co. Ltd.
Tatsuya / Tatsuya Shoten
